,question,answer,qtype
607,What does vocal signals for?,vocal signals for orientation.,1
608,What does machine learning techniques development?,machine learning techniques development novel drug candidates.,1
609,What does machine learning utilize?,machine learning utilize drug discovery.,1
610,What does deep learning algorithms utilize?,deep learning algorithms utilize drug discovery.,1
611,What does portfolio simulation forecast?,portfolio simulation forecast achievability of COVID-19 portfolio strategic goals.,1
612,What does PCR assays screen?,PCR assays screen pathogens.,1
613,What does cycling frequency determine?,cycling frequency determine energy imparted per minute.,1
614,What does adjustable ventilator settings relevant?,adjustable ventilator settings relevant lung protection.,1
615,What does rate determine?,rate determine velocity of flow through the airways.,1
616,What does flow-determined rates of alveolar expansion amplify?,flow-determined rates of alveolar expansion amplify strains experienced by individual units.,1
617,What does flow-determined rates of alveolar expansion attenuate?,flow-determined rates of alveolar expansion attenuate strains experienced by individual units.,1
618,What does Socioeconomic Scale assess?,Socioeconomic Scale assess Participants.,1
619,What does protective measures against?,protective measures against COVID-19.,1
620,What does contracting COVID-19 protection?,contracting COVID-19 protection healthcare providers.,1
621,What does conditional interference classification tree were performed to further understand how sociodemographic factors impact?,conditional interference classification tree were performed to further understand how sociodemographic factors impact k.,1
622,What does conditional interference classification tree were performed to further understand how sociodemographic factors impact?,conditional interference classification tree were performed to further understand how sociodemographic factors impact k'.,1
623,What does sociodemographic factors impact?,sociodemographic factors impact k.,1
624,What does sociodemographic factors impact?,sociodemographic factors impact k'.,1
625,What does investigations rule?,investigations rule vascular and infectious process.,1
626,What does RANBP2 role?,RANBP2 role energy homeostasis of neuronal cells.,1
627,What does iNO treat?,iNO treat PPHN.,1
628,What does Lipids roles?,Lipids roles viral life cycle.,1
629,What does lipid composition of cell membranes influence?,lipid composition of cell membranes influence viral entry.,1
630,What does lipid mediators regulate?,lipid mediators regulate viral burden in COVID-19.,1
631,What does CoV-2 impact?,CoV-2 impact non-hospital healthcare settings.,1
632,What does high seroprevalence rate among staff contribute?,high seroprevalence rate among staff contribute herd 35 immunity within a workplace.,1
633,What does SARS-CoV-2 threaten?,SARS-CoV-2 threaten healthcare systems.,1
634,What does spike 152 binding antibodies negative?,spike 152 binding antibodies negative RBD.,1
635,What does spike and RBD antibody binding levels correlate?,spike and RBD antibody binding levels correlate neutralizing titers.,1
636,What does RBD-binding antibodies correlate?,RBD-binding antibodies correlate neutralization.,1
637,What does extending residency compensate?,extending residency compensate training loss.,1
638,What does Glucocorticoids prolong?,Glucocorticoids prolong patients' ambulation.,1
639,What does NFAT5) involve?,NFAT5) involve fibroblast proliferation.,1
640,What does IncuCyte ZOOM monitor?,IncuCyte ZOOM monitor proliferation.,1
641,What does 671 provide?,671 provide convalescent plasma.,1
642,What does Antibacterial-resistant gram-negative infections risk?,Antibacterial-resistant gram-negative infections risk global public health.,1
643,What does C/T for?,C/T for gram-negative infections.,1
644,What does P. aeruginosa cause?,P. aeruginosa cause infections.,1
645,What does data analysis pipeline identify?,data analysis pipeline identify sleep apnea.,1
646,What does NIHR Oxford BRC generate?,NIHR Oxford BRC generate translational research publications.,1
647,What does vaccination control?,vaccination control COVID-19 outbreak.,1
648,What does nasopharyngeal swab assess?,nasopharyngeal swab assess presence of Sars-Cov-2.,1
649,What does Real-time PCR assess?,Real-time PCR assess presence of Sars-Cov-2.,1
650,What does pathogens cause?,pathogens cause respiratory tract infections.,1
651,What does one-step multiplex HRM identify?,one-step multiplex HRM identify SARS-CoV-2.,1
652,What does multiple county-level features importance?,multiple county-level features importance trajectory of COVID-19.,1
653,What does random forest models determine?,random forest models determine weekly feature importance.,1
654,What does mathematic models inform?,mathematic models inform pandemic situations.,1
655,What does mathematic models predict?,mathematic models predict outbreak and trajectory of pandemics.,1
656,What does deep learning model predict?,deep learning model predict epidemic transmission.,1
657,What does mathematical models evaluate?,mathematical models evaluate containment measures.,1
658,What does mathematical models predict?,mathematical models predict trajectory of epidemics/pandemics.,1
659,What does COVID-19 affect?,COVID-19 affect pandemic spread.,1
660,What does social and demographics attributes affect?,social and demographics attributes affect infection rates in populations.,1
661,What does demographic factors affect?,demographic factors affect spread of COVID-19.,1
662,What does small molecules target?,small molecules target G-quadruplexes.,1
663,What does G-quadruplex ligands act?,G-quadruplex ligands act anti-tumor drugs.,1
664,What does Helicases roles?,Helicases roles nucleic acid metabolism.,1
665,What does zero-emission vehicle features influence?,zero-emission vehicle features influence policy recommendations.,1
666,What does FACS analysis decrease?,FACS analysis decrease phagocytosis of zymosan and neutrophils.,1
667,What does mast cells produce?,mast cells produce IFN-b.,1
668,What does hematological abnormalities involve?,hematological abnormalities involve disease progression of COVID-19.,1
669,What does blood parameters associations?,blood parameters associations COVID-19.,1
670,What does hematological parameters correlations?,hematological parameters correlations severity of COVID-19.,1
671,What does acoustic channel reciprocity exploit?,acoustic channel reciprocity exploit acoustic channel frequency response of two legitimate devices.,1
672,What does laboratory tests rely?,laboratory tests rely diagnoses.,1
673,What does imaging studies rely?,imaging studies rely diagnoses.,1
674,What does context determine?,context determine acceptable models of consent.,1
675,What does one-way analysis of variance compare?,one-way analysis of variance compare Outcomes.,1
676,What does CPAP minimize?,CPAP minimize radiation exposure to heart and lung.,1
677,What does aptamer-based diagnostic techniques for?,aptamer-based diagnostic techniques for communicable diseases.,1
678,What does oligonucleotide aptamers control?,oligonucleotide aptamers control pathogen propagation.,1
679,What does oligonucleotide aptamers improve?,oligonucleotide aptamers improve host immune system responses.,1
680,What does adjustment cost amplify?,adjustment cost amplify negative pandemic shock to investment.,1
681,What does uncertainty of the pandemic increase?,uncertainty of the pandemic increase investment.,1
682,What does B-cell compartment responsible?,B-cell compartment responsible immunoglobulin production.,1
683,What does cellular and molecular mechanisms responsible?,cellular and molecular mechanisms responsible severe COVID-19 disease.,1
684,What does live attenuated vaccine against?,live attenuated vaccine against COVID-19.,1
685,What does systemic corticosteroids treatment?,systemic corticosteroids treatment moderate-tosevere COVID-19.,1
686,What does inhaled corticosteroid use associate?,inhaled corticosteroid use associate reduced morbidity of the disease.,1
687,What does Xanthorrhizol against?,Xanthorrhizol against Severe Acute Respiratory Syndrome Coronavirus.,1
688,What does XNT reduce?,XNT reduce infectious SCoV2 titer.,1
689,What does XNT against?,XNT against SCoV2 variants.,1
690,What does XNT inhibit?,XNT inhibit 3CL main protease (Nsp5).,1
691,What does red zones base?,red zones base social distancing situation.,1
692,What does algorithmic amplification favour?,algorithmic amplification favour right-leaning news sources.,1
693,What does personalization algorithms shape?,personalization algorithms shape political content consumption.,1
694,What does COVID-19 containment measures impact?,COVID-19 containment measures impact electricity power production.,1
695,What does RNA structural motifs mediate?,RNA structural motifs mediate recombination.,1
696,What does role conflict influence?,role conflict influence intention to leave the job.,1
697,What does on-the-job embeddedness moderate?,on-the-job embeddedness moderate role conflict.,1
698,What does on-the-job embeddedness relationship?,on-the-job embeddedness relationship intention to leave.,1
699,What does organizations reduce?,organizations reduce turnover intention.,1
700,What does profiles of VOCs diagnose?,profiles of VOCs diagnose pulmonary diseases.,1
701,What does bus delays affect?,bus delays affect commuters' plans.,1
702,What does fibrocytes associate?,fibrocytes associate fibrotic processes.,1
703,What does bone marrow-derived progenitor cells associate?,bone marrow-derived progenitor cells associate fibrotic processes.,1
704,What does primary PCI treat?,primary PCI treat STEMI.,1
705,What does Rhinoviruses associate?,Rhinoviruses associate exacerbation of respiratory illnesses.,1
706,What does bovine lactoferrin (BLf) effect?,bovine lactoferrin (BLf) effect RV-B14 infectivity.,1
707,What does light microscopy do?,light microscopy do examination.,1
708,What does electron microscopy do?,electron microscopy do examination.,1
709,What does light microscopy by?,light microscopy by examination.,1
710,What does cells detect?,cells detect pathogen-associated molecular patterns.,1
711,What does inflammatory monocytes coordinate?,inflammatory monocytes coordinate host responses.,1
712,What does myeloid cells control?,myeloid cells control innate and adaptive leukocytes.,1
713,What does remdesivir decrease?,remdesivir decrease mortality in severe COVID-19.,1
714,What does remdesivir reduce?,remdesivir reduce mortality.,1
715,What does hepatitis B virus (HBV) result?,hepatitis B virus (HBV) result hepatocellular carcinoma.,1
716,What does factors roles?,factors roles disordered gene expression.,1
717,What does HBV cause?,HBV cause liver injury.,1
718,What does demethylation events mediate?,demethylation events mediate upregulation of COX-2.,1
719,What does affective instability predict?,affective instability predict depressive symptoms.,1
720,What does technologies essential?,technologies essential non-face-to-face testing.,1
721,What does gaze estimation methods detect?,gaze estimation methods detect abnormal behavior of video conferencing participants.,1
722,What does ambient temperature relationship?,ambient temperature relationship mumps.,1
723,What does ambient temperature relationship?,ambient temperature relationship incidence of mumps.,1
724,What does ambient temperature affect?,ambient temperature affect incidence of mumps.,1
725,What does hot and cold effect of ambient temperature increase?,hot and cold effect of ambient temperature increase incidence of mumps.,1
726,What does means affect?,means affect incidence of infectious disease.,1
727,What does meteorological factors affect?,meteorological factors affect incidence of infectious disease.,1
728,What does weather conditions association?,weather conditions association physical activity in outdoor environments.,1
729,What does SIR model control?,SIR model control behavior of the model.,1
730,What does UFM for?,UFM for user involvement.,1
731,What does strategies protect?,strategies protect user autonomy.,1
732,What does monocyte-to-lymphocyte ratio (MLR) associate?,monocyte-to-lymphocyte ratio (MLR) associate severity of various diseases.,1
733,What does hospital records extract?,hospital records extract clinical data.,1
734,What does discharge letters extract?,discharge letters extract clinical data.,1
735,What does ratios correlate?,ratios correlate length of hospital stay.,1
736,What does NLR correlate?,NLR correlate length of stay.,1
737,What does MLR correlate?,MLR correlate length of stay.,1
738,What does white blood cell differentials facilitate?,white blood cell differentials facilitate risk stratification in affected patients.,1
739,What does measures safeguard?,measures safeguard health of PWUD.,1
740,What does low-barrier system monitor?,low-barrier system monitor contents of drugs in the unregulated street supply.,1
741,What does prophylactic dressing prevention?,prophylactic dressing prevention skin injuries.,1
742,What does nasal strip prevention?,nasal strip prevention discomfort in breathing with mask.,1
743,What does prophylactic dressing use?,prophylactic dressing use risky areas on the face.,1
744,What does PPE use associate?,PPE use associate skin injuries.,1
745,What does software compute?,software compute peptide classes.,1
746,What does utilization reduce?,utilization reduce maternal and neonatal mortality.,1
747,What does chi-squared test use?,chi-squared test use trends.,1
748,What does multilevel logistic regression model identify?,multilevel logistic regression model identify determinants of institutional delivery.,1
749,What does multilevel logistic regression model identify?,multilevel logistic regression model identify institutional delivery.,1
750,What does ] associate?,] associate institutional delivery.,1
751,What does physical health issues relate?,physical health issues relate sexual dysfunction.,1
752,What does physical health issues relate?,physical health issues relate urological symptoms.,1
753,"What does cancer-generic, locationand sarcoma-specific items assess?","cancer-generic, locationand sarcoma-specific items assess HRQoL.",1
754,What does non-traditional data sources study?,non-traditional data sources study migration trends.,1
755,What does COVID-19 pandemic worsen?,COVID-19 pandemic worsen mental health problems.,1
756,What does COVID-19 stressors association?,COVID-19 stressors association mental health.,1
757,What does COVID-19 lead?,COVID-19 lead misinformation on the virus.,1
758,What does web-based conference minimize?,web-based conference minimize misinformation among student populations.,1
759,What does COVID-19 cause?,COVID-19 cause impairment on mental health of the students.,1
760,What does Clinics treat?,Clinics treat all-comers.,1
761,What does COVID-19 cause?,COVID-19 cause once-in-a-century global pandemic.,1
762,What does DNN classify?,DNN classify gene expressions data.,1
763,What does computer-aided analyses of genes helpful?,computer-aided analyses of genes helpful genetic and virology researchers.,1
764,What does digital PCR detect?,digital PCR detect low amplicon numbers.,1
765,What does digital PCR detect?,digital PCR detect infection in swab material.,1
766,What does analyses describe?,analyses describe pandemic and policy responses.,1
767,What does international travel attribute?,international travel attribute exposure.,1
768,What does aging and senescence impact?,aging and senescence impact ICI-based therapies.,1
769,What does antibody detect?,antibody detect endogenous murine p16 protein.,1
770,What does elimination of these cells in chronologically or accelerated models of aging decrease?,elimination of these cells in chronologically or accelerated models of aging decrease onset of age-related diseases.,1
771,What does senescent cells beneficial?,senescent cells beneficial wound healing.,1
772,What does senolytics clearance?,senolytics clearance senescent cells.,1
773,What does senolytic approaches improve?,senolytic approaches improve physical functions.,1
774,What does senolytic approaches increase?,senolytic approaches increase lifespan in mice.,1
775,What does ICI boost?,ICI boost abscopal effect.,1
776,What does HPLC analyze?,HPLC analyze rutin and apigenin content of extracts.,1
777,What does HPLC analyze?,HPLC analyze apigenin content of extracts.,1
778,What does B cells block?,B cells block antigen-ligand 88 interactions.,1
779,What does face and content validity evaluate?,face and content validity evaluate items of the FCHS.,1
780,What does exploratory factor analysis (EFA) determine?,exploratory factor analysis (EFA) determine factor structure.,1
781,What does lockdown effect?,lockdown effect ambulatory measurements.,1
782,What does personal passive air sampler (PPAS) estimate?,personal passive air sampler (PPAS) estimate exposure level to chlorine gas.,1
783,What does passive samplers deployed in a closed chamber assess?,passive samplers deployed in a closed chamber assess gas exposure level.,1
784,What does deep neural networks classify?,deep neural networks classify chest-related diseases.,1
785,What does drug combinations suppress?,drug combinations suppress viral replication.,1
786,What does transnational court meetings understand?,transnational court meetings understand legal citation networks.,1
787,What does 10 7 mDEF201 treatments respond?,10 7 mDEF201 treatments respond infections.,1
788,What does statistics use?,statistics use clinical features.,1
789,What does digital transformations effect?,digital transformations effect learners.,1
790,What does eye movement behaviors towards?,eye movement behaviors towards performance levels of virtual peer-learners.,1
791,What does exogenous melatonin effect?,exogenous melatonin effect sleep quality.,1
792,What does actigraphy measure?,actigraphy measure step count.,1
793,What does melatonin improve?,melatonin improve objective measures of sleep quality in PwMS.,1
794,What does virions source?,virions source SARS CoV-2 transmission in this pandemic.,1
795,What does facial masks limit?,facial masks limit spread of the virus.,1
796,What does social distancing limit?,social distancing limit spread of the virus.,1
797,What does bio-decontamination mitigate?,bio-decontamination mitigate viral spread.,1
798,What does Ag-LOTOS use?,Ag-LOTOS use workflow.,1
799,What does DREP constructs induce?,DREP constructs induce binding and neutralizing antibodies.,1
800,What does DREP constructs prime?,DREP constructs prime responses.,1
801,What does mixed vaccine modalities combat?,mixed vaccine modalities combat SARS-CoV-2.,1
802,What does observed variables impact?,observed variables impact latent variables.,1
803,What does improvement of PQ increase?,improvement of PQ increase pandemic prevention service satisfaction (SS).,1
804,What does rats study?,rats study infectious diseases.,1
805,What does ATN-161 target?,ATN-161 target α5 integrin.,1
806,What does GeneCards database collect?,GeneCards database collect NCP-related target genes.,1
807,What does Venn diagram package screen?,Venn diagram package screen candidate genes.,1
808,What does gene-pathway network obtain?,gene-pathway network obtain key target genes.,1
809,What does scoring functionality evaluate?,scoring functionality evaluate fitness of the docking result.,1
810,What does floating-point calculations require?,floating-point calculations require scoring functionality in docking.,1
811,What does patient safety methods support?,patient safety methods support design of new systems.,1
812,What does antibody response magnitude and kinetics impact?,antibody response magnitude and kinetics impact clinical severity.,1
813,What does antibody response magnitude and kinetics impact?,antibody response magnitude and kinetics impact serological diagnosis.,1
814,What does ORF3d discriminate?,ORF3d discriminate SARS-CoV-2 infection in children.,1
815,What does Tick-borne encephalitis virus inhibit?,Tick-borne encephalitis virus inhibit rRNA synthesis.,1
816,What does energy devices carry?,energy devices carry active SARS-CoV2 virus.,1
817,What does organizations lead?,organizations lead confusion and anxiety amongst healthcare staff.,1
818,What does intracerebral (IC) infection confirm?,intracerebral (IC) infection confirm neuronal invasion.,1
819,What does infectious SARS-CoV-2-mCherry clones examine?,infectious SARS-CoV-2-mCherry clones examine ocular and neurotropic distribution of the virus.,1
820,What does infectious SARS-CoV-2-mCherry clones examine?,infectious SARS-CoV-2-mCherry clones examine ocular and neurotropic distribution of the virus in vivo.,1
821,What does plaque assay assess?,plaque assay assess virus quantity in the lungs and eyes.,1
822,What does duration of ICI trials impact?,duration of ICI trials impact likelihood of their success.,1
823,What does D-dimer/albumin ratio (DAR) predict?,D-dimer/albumin ratio (DAR) predict mortality in the COVID-19 patients.,1
824,What does fibrinogen/albumin ratio (FAR) predict?,fibrinogen/albumin ratio (FAR) predict mortality in the COVID-19 patients.,1
825,What does DAR predict?,DAR predict inhospital mortality.,1
826,What does high DARs and FARs predict?,high DARs and FARs predict in-hospital mortality.,1
827,What does logos display?,logos display sequence conservations and variations.,1
828,What does diseases threat?,diseases threat poultry farming.,1
829,What does public behavior changes decrease?,public behavior changes decrease risk of reopening.,1
830,What does SARS-CoV-2 impact?,SARS-CoV-2 impact pregnant individuals and their children.,1
831,What does serological tests measure?,serological tests measure IgG antibody levels.,1
832,What does Preemptive measures minimize?,Preemptive measures minimize negative effects of events.,1
833,What does proactive steps reduce?,proactive steps reduce unacceptable consequences.,1
834,What does SARS-CoV-2 genes optimize?,SARS-CoV-2 genes optimize mammalian protein translation.,1
835,What does codon optimization strategies increase?,codon optimization strategies increase proportion of fulllength mRNA.,1
836,What does median sternotomy (MS) treatment?,median sternotomy (MS) treatment atrial septal defects (ASDs).,1
837,What does forecasts support?,forecasts support food security planning.,1
838,What does javanica suppress?,javanica suppress allergic airway inflammation.,1
839,What does L. javanica treatment?,L. javanica treatment respiratory disorders.,1
840,What does enhanced turbulent mixing mitigate?,enhanced turbulent mixing mitigate airborne COVID-19 transmission.,1
841,What does this approach reduce?,this approach reduce peak virus cloud concentrations.,1
842,What does Mud increase?,Mud increase net energy requirements for cattle.,1
843,What does social media measure?,social media measure public attention to public health emergencies.,1
844,What does Sina Microblog measure?,Sina Microblog measure public attention to public health emergencies.,1
845,What does Sputum Culture management?,Sputum Culture management Lower Respiratory Tract Infections.,1
846,What does infections associate?,infections associate cystic fibrosis.,1
847,What does oropharyngeal cultures identify?,oropharyngeal cultures identify lower airway bacteria in cystic fibrosis patients.,1
848,What does oropharyngeal cultures identify?,oropharyngeal cultures identify lower respiratory pathogens in infants with cystic fibrosis.,1
849,What does infection control practices prevent?,infection control practices prevent patient-to-patient transmission.,1
850,What does Exhaled breath condensate sampling detection?,Exhaled breath condensate sampling detection respiratory viruses.,1
851,What does A new method sample?,A new method sample exhaled respiratory virus aerosols.,1
852,What does viral infection worsen?,viral infection worsen 25 the disease.,1
853,What does bacterial coinfection contribute?,bacterial coinfection contribute aggravation of 27 COVID-19.,1
854,What does histological changes in the 49 lung tissues result?,histological changes in the 49 lung tissues result dysbiosis of lung microbiome.,1
855,What does remodeling of virulence secretion essential?,remodeling of virulence secretion essential host adaptation.,1
856,What does Type VI 72 secretion system (T6SS) correlate?,Type VI 72 secretion system (T6SS) correlate bacterial competition.,1
857,What does therapeutic measures treat?,therapeutic measures treat infections.,1
858,What does adaptive convergent evolution contribute?,adaptive convergent evolution contribute treatment decision.,1
859,What does Equivalent Circuit Method include?,Equivalent Circuit Method include dielectric dispersion present in biological tissues.,1
860,What does stainless steel needles electrodes apply?,stainless steel needles electrodes apply voltage ramps.,1
861,What does cyclic peptides bind?,cyclic peptides bind Vps29.,1
862,What does macrocyclic peptide RT-L4 bind?,macrocyclic peptide RT-L4 bind Retromer 9 at the Vps35-Vps26 interface.,1
863,What does molecular approaches inhibit?,molecular approaches inhibit Retromer 43 activity.,1
864,What does Inhibition of Retromer target?,Inhibition of Retromer target infectious pathogens.,1
865,What does Retromer-binding 'molecular chaperones enhance?,Retromer-binding 'molecular chaperones enhance Retromer function in diseases.,1
866,What does derivative of R55 improve?,derivative of R55 improve Retromer stability.,1
867,What does peptides bind?,peptides bind Retromer.,1
868,What does peptides bind?,peptides bind Retromer 59.,1
869,What does L4 stabilize?,L4 stabilize Retromer assembly.,1
870,What does ITC measure?,ITC measure Retromer.,1
871,What does macrocyclic peptides bind?,macrocyclic peptides bind Retromer.,1
872,What does Low SMN connectivity relationships?,Low SMN connectivity relationships slower gait speed.,1
873,What does fMRI assess?,fMRI assess ARF patients' post-ICU limitations.,1
874,What does upfront surgery for?,upfront surgery for PA.,1
875,What does delay cut-offs impact?,delay cut-offs impact OS or DFS.,1
876,What does TTS impact?,TTS impact OS.,1
877,What does outcomes effect?,outcomes effect education.,1
878,What does formal networks provide?,formal networks provide support.,1
879,What does polyprotein strategy produce?,polyprotein strategy produce RdRp complexes.,1
880,What does religion-related super-spreading event link?,religion-related super-spreading event link outbreak.,1
881,What does simulation model estimate?,simulation model estimate effectiveness of each NPI.,1
882,What does exemplar sentence depict?,exemplar sentence depict scenario.,1
883,What does mask-wearing effect?,mask-wearing effect expression interpretation.,1
884,What does masks increase?,masks increase perceived intensity of non-intended emotions.,1
885,What does Timo AIII suppress?,Timo AIII suppress tumor angiogenesis.,1
886,What does Timo AIII treatment suppress?,Timo AIII treatment suppress expression of VEGF receptor (VEGFR).,1
887,What does problems correlate?,problems correlate parenting stress.,1
888,What does temperature associations?,temperature associations non-COVID-19 mortality.,1
889,What does viruses cause?,viruses cause economic losses.,1
890,What does intervention reduce?,intervention reduce parental stress.,1
891,What does blood tests for?,blood tests for thyroid antibodies.,1
892,What does blood tests for?,blood tests for thyroid function tests.,1
893,What does ellipsoid formula calculation?,ellipsoid formula calculation thyroid gland volume.,1
894,What does quercetin regulate?,quercetin regulate levels of neurotransmitters.,1
895,What does COVID-19 pandemic test?,COVID-19 pandemic test healthcare organisational resilience.,1
896,What does electronic platforms for?,electronic platforms for virtual visits.,1
897,What does Shapley values identify?,Shapley values identify significant mutations of concern.,1
898,What does machine learning approach identify?,machine learning approach identify relevant mutations.,1
899,What does moderated mediation model use?,moderated mediation model use data analysis.,1
900,What does disposable paper-based chip avoid?,disposable paper-based chip avoid secondary transmission of COVID-19.,1
901,What does adjuvant therapies for?,adjuvant therapies for COVID-19.,1
902,What does quality improvement strategies create?,quality improvement strategies create replicable workflow.,1
903,What does video visits replace?,video visits replace in-person clinic evaluation during the pandemic.,1
904,What does deterioration of renal function associate?,deterioration of renal function associate poor outcomes.,1
905,What does timing of decline in renal function correlate?,timing of decline in renal function correlate worsening clinical status.,1
906,What does host and bacterial factors contribute?,host and bacterial factors contribute GAS colonization.,1
907,What does bacterial and host factors important?,bacterial and host factors important GAS oropharyngeal colonization.,1
908,What does activation monitor?,activation monitor colonization load.,1
909,What does severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) cause?,severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) cause coronavirus disease.,1
910,What does serology assays detection?,serology assays detection COVID-19.,1
911,What does PRRSV infection induce?,PRRSV infection induce type I interferon (IFN-␣/␤).,1
912,What does PRRSV infection inhibit?,PRRSV infection inhibit dsRNA-induced IRF3 activation.,1
913,What does PRRSV infection suppress?,PRRSV infection suppress production of IFN-␤.,1
914,What does travel history estimate?,travel history estimate incubation period.,1
915,What does antigen tests detect?,antigen tests detect antibodies.,1
916,What does functional tests detect?,functional tests detect antibodies.,1
917,What does serum-derived factor inhibit?,serum-derived factor inhibit heparininduced platelet activation test (HIPA).,1
918,What does inadequate transitions pathways contribute?,inadequate transitions pathways contribute higher STCs.,1
919,What does low adaptive capacities contribute?,low adaptive capacities contribute higher STCs.,1
920,What does psychological factors favor?,psychological factors favor appearance of such attitudes in a person.,1
921,What does preventive strategy limit?,preventive strategy limit spread of misinformation about COVID-19.,1
922,What does protein IC activity necessary?,protein IC activity necessary virulence in mice.,1
923,What does presence of its PBM necessary?,presence of its PBM necessary virulence in mice.,1
924,What does COVID-19 pandemic change?,COVID-19 pandemic change elective surgery routine.,1
925,What does pre-hospitalization path identify?,pre-hospitalization path identify infected patient.,1
926,What does Telemedicine deliver?,Telemedicine deliver patient care.,1
927,What does Kaplan-Meier analysis assess?,Kaplan-Meier analysis assess cumulative mortality over 90 days.,1
928,What does Nine Hole Peg Test (NHPT) assessment?,Nine Hole Peg Test (NHPT) assessment manual function in CP.,1
929,What does intraclass correlation coefficient (ICC) verify?,intraclass correlation coefficient (ICC) verify Reliability.,1
930,What does Bland-Altman method analyze?,Bland-Altman method analyze agreement.,1
931,What does neighborhood gentrification lead?,neighborhood gentrification lead inequitable access to health care.,1
932,What does health care gentrification lead?,health care gentrification lead inequitable access to health care.,1
933,What does anxiety relate?,anxiety relate lower levels of commitment.,1
934,What does hybrid simulation assess?,hybrid simulation assess COVID-19 containment measures in indoor environments.,1
935,What does Agent-Based Simulation (ABS) simulate?,Agent-Based Simulation (ABS) simulate virus contagion model.,1
936,What does anxiety precede?,anxiety precede catatonic symptoms.,1
937,What does biological factors lead?,biological factors lead functionally different immune responses.,1
938,What does removal of sialic acids from tissues prevent?,removal of sialic acids from tissues prevent binding of all proteins to all tissues.,1
939,What does virus causative?,virus causative infectious bronchitis in chickens.,1
940,What does IBV strains infect?,IBV strains infect chicken respiratory tract.,1
941,What does clinical training prioritize?,clinical training prioritize im/migrant health equity.,1
942,What does healthcare policies and practices address?,healthcare policies and practices address unmet needs of communities.,1
943,What does Comorbidities important?,Comorbidities important disease outcome of COVID-19.,1
944,What does Comorbidities aggravate?,Comorbidities aggravate conditions of patients.,1
945,What does COVID-19 develop?,COVID-19 develop critical respiratory failure.,1
946,What does comorbidities affect?,comorbidities affect SARS-CoV-2 clearance.,1
947,What does comorbidities accelerate?,comorbidities accelerate damage of target tissues.,1
948,What does male and elderly (≥60 years) relate?,male and elderly (≥60 years) relate longer viral shedding.,1
949,What does immunity combat?,immunity combat infectious pathogens.,1
950,What does intravenous immunoglobulin associate?,intravenous immunoglobulin associate delayed viral clearance.,1
951,What does intravenous immunoglobulin treat?,intravenous immunoglobulin treat autoimmune diseases.,1
952,What does mechanisms increase?,mechanisms increase LTC and 130 residential facilities' funding.,1
953,What does executive orders ‡ ease?,executive orders ‡ ease administrative burden.,1
954,What does analysis for?,analysis for Bell's palsy.,1
955,What does rounding apply?,rounding apply functions of discrete random variables.,1
956,What does rounded to nearest integer average estimate?,rounded to nearest integer average estimate non-negative discrete random variable.,1
957,What does rounding affect?,rounding affect statistical inference.,1
958,What does large-scale vortices control?,large-scale vortices control MFPs in its each separated zone.,1
959,What does longitudinal airflow dominate?,longitudinal airflow dominate MFPs' longitudinal transmission.,1
960,What does government actions curb?,government actions curb spread of the virus.,1
961,What does digital traces of city-bike trips identify?,digital traces of city-bike trips identify urban space attractiveness.,1
962,What does filtering mitigate?,filtering mitigate selection bias.,1
963,What does filtering reveal?,filtering reveal spatial patterns of urban attractiveness.,1
964,What does trauma cause?,trauma cause acute kidney injury (AKI).,1
965,What does inverse prompting control?,inverse prompting control text generation.,1
966,What does IES-R measure?,IES-R measure stress of hospital workers.,1
967,What does coronavirus disease 2019 (COVID-19) pandemic challenge?,coronavirus disease 2019 (COVID-19) pandemic challenge cancer care.,1
968,What does logistic regression model base?,logistic regression model base integer-based scoring system.,1
969,What does Expectation-Maximization (EM) algorithm estimate?,Expectation-Maximization (EM) algorithm estimate number of clusters and their parameters.,1
970,What does temporal statistical model detection?,temporal statistical model detection dynamical changes in population distributions.,1
971,What does K components solution initialize?,K components solution initialize 1 K  components mixture.,1
972,What does minimum message length criterion penalise?,minimum message length criterion penalise cost function.,1
973,What does pipeline infer?,pipeline infer population distribution.,1
974,What does maximisation step update?,maximisation step update mixture parameters.,1
975,What does Python scraper collect?,Python scraper collect companies' Instagram posts.,1
976,What does machine learning algorithm identify?,machine learning algorithm identify photo characteristics.,1
977,What does tactics improve?,tactics improve consumer communications effectiveness.,1
978,What does Fas/FasL system implicate?,Fas/FasL system implicate pathogenesis of lung injury.,1
979,What does Fas/FasL system require?,Fas/FasL system require neutrophilic response to LPS.,1
980,What does RSV associate?,RSV associate mortality.,1
981,What does de novo donor specific antibodies (DSA) cause?,de novo donor specific antibodies (DSA) cause graft injury.,1
982,What does non-invasive biomarkers monitor?,non-invasive biomarkers monitor rejection.,1
983,What does polyamines associate?,polyamines associate RNA.,1
984,What does homeostasis impact?,homeostasis impact bacterial pathogenesis.,1
985,What does pneumococci regulator?,pneumococci regulator central metabolism.,1
986,What does It effect?,It effect virulence factors.,1
987,What does statistical methods assess?,statistical methods assess accuracy of studied models.,1
988,What does Pearson correlation coefficient (R) assess?,Pearson correlation coefficient (R) assess accuracy of studied models.,1
989,What does community identification predict?,community identification predict well-being.,1
990,What does digital surveillance data assess?,digital surveillance data assess outbreak dynamics in real-time.,1
991,What does complications reduce?,complications reduce length of stay and re-admission to hospital.,1
