category,question,context,answer
Materials,What is conclusion on surfaces?,"Our results indicate that aerosol and fomite transmission of SARS-CoV-2 is plausible, since the virus can remain viable and infectious in aerosols for hours and on surfaces up to days (depending on the inoculum shed)",aerosol and fomite transmission of SARS-CoV-2 is plausible
Materials,What is conclusion on surfaces?,The above studies suggest a differential stability/viability profile of SARS-CoV-2 on various surfaces and imbalanced viral distribution between ICU and general ward as well as preferential accumulation of virus on hotspots 4-6 ,studies suggest a differential stability/viability profile of SARS-CoV-2 on various surfaces
Materials,What is conclusion on surfaces?,Table 2 gives a comparative study of both viruses and shows that SARS-CoV-2 and SARS-CoV-1 have significant sustaining time on different surfaces. ,SARS-CoV-2 and SARS-CoV-1 have significant sustaining time on different surfaces
Materials,What is conclusion on surfaces?,"20−22 However, more research in this area is needed to produce conclusive results. ",
Materials,What is conclusion on surfaces?,"Overall, these findings highlight that ACE2 has a key protective function in both the lung and the heart",
Materials,What model used?,"Thus, MHV is an excellent model for studying the basics of viral replication in tissue culture cells as well as for studying the pathogenesis and immune response to coronaviruses",MHV
Materials,What model used?,"From this reporting, transmission modeling suggests the number of infected individuals in Iran was in the thousands",transmission modeling
Materials,What model used?,The current estimate of COVID-19 Rₒ is 2-2.5,
Materials,What model used?,"However, comorbidities that place individuals at greatest risk are: Hypertension Cardiac disease/cerebrovascular disease Diabetes Respiratory disease 11 Malignancy and immunodeficiency",
Materials,What heat/light/radiation/disinfectant used?,"In addition, ultraviolet (UV) germicidal irradiation is also proposed to inactivate SARS-CoV-2 17",ultraviolet (UV) germicidal irradiation
Materials,What heat/light/radiation/disinfectant used?,"Results showed that the most promising methods are those that use hydrogen peroxide vapor, ultraviolet radiation, moist heat, dry heat and ozone gas.","hydrogen peroxide vapor, ultraviolet radiation, moist heat, dry heat and ozone gas"
Materials,What heat/light/radiation/disinfectant used?,Ultraviolet (UV)-A and UV-B light in the presence of amotosalen or riboflavin could inactivate the pathogens' nucleic acids,Ultraviolet (UV)-A and UV-B light
Materials,What heat/light/radiation/disinfectant used?,"A variety of decontamination methods have been proposed, from using heat and steam, hydrogen peroxide vapor, UV light, and letting the mask sit for days before repeat usage","heat and steam, hydrogen peroxide vapor, UV light"
Materials,What heat/light/radiation/disinfectant used?,"(Fig 4A, B) This comprised wiping down all surfaces with 75% ethanol, disinfecting large equipment with movable UV lights for 1 hour",UV lights
Materials,What objects disinfected?,"(Fig 4A, B) This comprised wiping down all surfaces with 75% ethanol, disinfecting large equipment with movable UV lights for 1 hour (Fig 4C",surfaces
Materials,What objects disinfected?,"After the treatment, the surfaces in the clinic are wiped with 1000 mg/L chlorine-containing disinfectant for 10 minutes.",surfaces
Materials,What objects disinfected?,Reviews of studies have shown that reducing the frequency of touching by hands and disinfecting surfaces can reduce the amount of coronavirus load and the rate of transmission.,surfaces
Materials,What objects disinfected?,A 20 0 0 mg/L sodium hypochlorite disinfectant solution was used to wipe the bedside table and patients' stretchers,bedside table and patients' stretchers
Materials,What objects disinfected?,"The masks waiting to be descontaminated were placed inside individual, named envelopes",masks
Materials,What objects disinfected?,"If clothes are sprayed, skin exposure is prolonged until and unless the contaminated clothing is removed, and the skin thoroughly irrigated.",clothes
Materials,What objects disinfected?,"Regular exercise at home:regular meals, avoid cold food, raw seafood and wild animals;regular sleep schedule.",
Materials,What is effective concentration?,"It should be noted that their lowest dose is 120,000 mJ/cm 2 , which is 60 times higher than the conservative minimum dose of 2,000 mJ/cm 2 we recommend for SARS-CoV-2 inactivation.","120,000 mJ/cm 2"
Materials,What is effective concentration?,"The UVGI (254 nm, 17 mW/cm 2 ) sterilizer cabinet used in these tests does not have enough dose to damage the respirators within a reasonable number of treatment cycles and may be considered for disinfection, with doses smaller than 1000 J/cm 2 .",1000 J/cm 2 
Materials,What is effective concentration?,"A dosing regimen of 5 mg/kg/dose iv once daily (max: 200 mg) on day 1, followed by 2.5 mg/kg/ dose iv once daily (max: 100 mg) was used in 41 pediatric patients (including 2 neonates) who received remdesivir in a phase 3 Ebola study 16",5 mg/kg/dose iv once daily
Materials,What is effective concentration?,"When the amount of hospital wastes is small, chemical disinfection technology could be considered. At this temperature, the time required to achieve the disinfection effect usually does not exceed 20 min. ",
Materials,What is effective concentration?,"Effective decontamination time could be shortened to 15 min by significantly increasing the UVGI dosage, however 15 ",
Materials,What is conclusion on heat/light/radiation/disinfectant method?,"In general, heat, high or low pH, and sunlight make it easier to kill the coronavirus (WHO 2020b).","heat, high or low pH, and sunlight make it easier to kill the coronavirus"
Materials,What is conclusion on heat/light/radiation/disinfectant method?,"The use of ultraviolet light, chlorine-based disinfectant and 75% alcohol have been confirmed to be effective in neutralizing the virus.","ultraviolet light, chlorine-based disinfectant and 75% alcohol have been confirmed to be effective"
Materials,What is conclusion on heat/light/radiation/disinfectant method?,Air disinfection using highintensity ultraviolet rays (254 nm UV-C) can effectively inactivate coronavirus aerosols .,ultraviolet rays (254 nm UV-C) can effectively inactivate coronavirus aerosols
Materials,What is conclusion on heat/light/radiation/disinfectant method?,"Although UV light has the ability to inactivate viruses, it may be meaningless in areas with high air pollution where UV light turns into heat.","UV light has the ability to inactivate viruses, it may be meaningless in areas with high air pollution"
Materials,What is conclusion on heat/light/radiation/disinfectant method?,The virus is sensitive to ultraviolet and heat,virus is sensitive to ultraviolet and heat
Materials,What is conclusion on heat/light/radiation/disinfectant method?,"A nontoxic fluorescent solution, only visible under ultraviolet light, was utilized during the training.",
Materials,What is conclusion on heat/light/radiation/disinfectant method?,"These microbes use light as a source of energy, and their layering is explained by differential tolerance to ultraviolet light and oxygen, and their capacity to use light of different wavelengths in photosynthesis. ",
Materials,What rna confirmation method used?,The mother’s SARS-CoV-2 PCR result was positive the next day,PCR
Materials,What rna confirmation method used?,"Quantitative real-time reverse-transcriptase polymerase chain reaction (qRT-PCR) for the Orf1ab gene was performed with qRT-PCR kit (BGI-Shenzhen, China).",qRT-PCR
Materials,What rna confirmation method used?,Real-time fluorescence reverse-transcriptase-polymerase-chain reaction (RT-PCR) was performed to detect SARS-CoV-2 RNA in throat swabs and fecal specimens.,RT-PCR
Materials,What rna confirmation method used?,Quantitative Reverse Transcription Polymerase Chain Reaction (RT-PCR) was the test performed on all samples to detect viral RNA,RT-PCR
Materials,What rna confirmation method used?,Studies have started performing two sequential RT-PCRs to ensure true negative cases ,RT-PCR
Materials,What rna confirmation method used?,All patients were confirmed to have COVID-19 by real-time polymerase chain reaction (PCR),PCR
Materials,What rna confirmation method used?,"Pharyngeal swab, stool, and urine specimens were collected and tested for SARS-CoV-2 RNA by real-time reverse transcription polymerase chain reaction",real-time reverse transcription polymerase chain reaction
Materials,What rna confirmation method used?,"All patients demonstrated stool RT-PCR positivity at some stage of their disease, regardless of gastrointestinal symptoms.",RT-PCR
Materials,What rna confirmation method used?,"This has also been reported in COVID-19, with a well-documented case of positive RT-PCR results in stools",RT-PCR
Materials,What rna confirmation method used?,Extracted nucleic acid samples were tested for SARS-CoV-2 with qRT-PCR using a commercial SARS-CoV-2,qRT-PCR
Materials,What rna confirmation method used?,"Throat swabs, sputum, stool, and blood samples were collected, and viral load was measured by reverse transcription PCR (RT-PCR)",RT-PCR
Materials,What rna confirmation method used?,Faecal PCR testing was as accurate as respiratory specimen PCR detection.,PCR
Materials,What rna confirmation method used?,"Although this has not been directly confirmed, there is growing evidence that COVID-19 may be present in stool",
Materials,What is shedding time in stool?,"Fecal shedding has been seen in up to 30% of patients for up to 4-5 weeks after onset of symptoms, but it is unclear if this correlates with infectivity.",4-5 weeks
Materials,What is shedding time in stool?,"SARS-CoV RNA was only detected in stools from the fifth day of illness onwards, and the proportion of stool specimens positive for viral RNA progressively increased and peaked at day 11 of the illness, with viral RNA still present in the faeces of a small proportion of patients even after 30 days of illness.",30 days
Materials,What is shedding time in stool?,"Among the 41 (55%) of 74 patients with fecal samples positive for SARS-CoV-2 RNA, the respiratory samples remained positive for SARS-CoV-2 RNA for a mean of 16.7 days and fecal samples remained positive for a mean of 27.9 days after first symptom onset .",27.9 days
Materials,What is shedding time in stool?,"The median (IQR) time of undetectable viral RNA in throat swab, sputum, and stool was 18.5 (13.25-22) days, 22 (18.5-27.5) days, and 17 (11.5-32) days, respectively.",17 (11.5-32) days
Materials,What is shedding time in stool?,"In a study published in 2003, 100% of patients presented with viral excretion in stool specimens and 67% still had a detectable virus 3 weeks after the onset of clinical symptoms .",3 weeks
Materials,What is shedding time in stool?,The duration of viral shedding in the faeces is mostly reported as 1 to 33 days after a negative nasopharyngeal swab but can continue for up to 47 days after onset of symptoms in patients with COVID-19.,1 to 33 days
Materials,What is shedding time in stool?,"The duration of positive stool ranged from 1 to 12 days, and 17 (23.29%) patients remained positive in stool after showing negative in respiratory samples.",1 to 12 days
Materials,What is shedding time in stool?,"As described in a retrospective study, in 137 survivors from COVID-19, the median duration of viral shedding detected in respiratory specimens was 20 days from illness onset .",20 days
Materials,What is shedding time in stool?,"In five patients, SARS-CoV-2 RNA was detected in the stool until 18 to 30 days after the initial symptoms.",18 to 30 days
Materials,What is shedding time in stool?,An 81-year-old Japanese woman with COVID-19 had watery diarrhea and the virus was detected in the stool for up to 15 days after disease onset,15 days
Materials,What is shedding time in stool?,Prolonged shedding of viral RNA in the feces was observed for 18–30 days in 5 patients .,18–30 days
Materials,What is shedding time in stool?,Duration of viral shedding ranged between 8 and 37 days.,8 and 37 days
Materials,What is shedding time in stool?,Faecal excretion persisted after sputum excretion in 23% (17/73)‐82% (54/66) patients for 1‐11 days.,1‐11 days
Materials,What is shedding time in stool?,One SARS study revealed that viral detection peaked at 2 weeks after onset for respiratory specimens and 2-3 weeks for stool and rectal specimens.,2-3 weeks
Materials,What is shedding time in stool?,"In addition, the median duration of virus shedding was 10.0 days (IQR 8.0 to 17.0) in the upper respiratory swabs, but was 22.0 days (IQR 15.5 to 23.5) for the feces.",22.0 days
Materials,What is shedding time in stool?,"During quarantine and follow-up period, clearance of SARS-CoV-2 in stool samples occurred 20 days after viral RNA in respiratory specimens turning negative.",20 days
Materials,What is shedding time in stool?,"For SARS coronavirus, viral RNA is detectable in the respiratory secretions and stools of some patients after onset of illness for more than 1 month, but live virus could not be detected by culture after week 3.",1 month
Materials,What is shedding time in stool?,"The median duration of SARS-CoV-2 RNA shedding were 12 (3-38), 19 (5-37), and 18 (7-26) days in nasopharyngeal swabs, sputum and stools, respectively. ",18 (7-26) days
Materials,What is shedding time in stool?,"In the COVID-19 outbreak in China, the duration of viral shedding ranged from 8 to 37 days.",8 to 37 days
Materials,What is shedding time in stool?,Prolonged shedding of viral RNA in the feces was observed for 18-30 days in 5 patients.,18-30 days
Materials,What is shedding time in stool?,COVID-19 RNA viral shedding persists for about 18 days (by nasopharyngeal swab) or 19 days (via feces) ,19 days
Materials,What is shedding time in stool?,"Prolonged viral RNA shedding has been reported from throat swabs up to 37 days among adult patients , and in faeces, for over one month after illness onset in children",one month
Materials,What is shedding time in stool?,What is shedding time in feces?,
Materials,What is shedding time in nasopharynx?,A prolonged period of virus shedding (>30 days) in upper respiratory tract was observed in 6/24 cases.,>30 days
Materials,What is shedding time in nasopharynx?,"Prolonged viral RNA shedding has been reported in a virologic assessment of 18 patients in Singapore, with a median (range) duration of viral RNA shedding from the nasopharynx of 12 days (1-24).",12 days
Materials,What is shedding time in nasopharynx?,"In addition, the median duration of virus shedding was 10.0 days (IQR 8.0 to 17.0) in the upper respiratory swabs, but was 22.0 days (IQR 15.5 to 23.5) for the feces.",10.0 days
Materials,What is shedding time in nasopharynx?,"The median duration of SARS-CoV-2 RNA shedding were 12 (3-38), 19 (5-37), and 18 (7-26) days in nasopharyngeal swabs, sputum and stools, respectively. ",12
Materials,What is shedding time in nasopharynx?,COVID-19 RNA viral shedding persists for about 18 days (by nasopharyngeal swab) or 19 days (via feces) .,18 days
Materials,What is shedding time in urine?,The shedding peak in urine occurred around weeks 3-4. ,weeks 3-4
Materials,What is shedding time in urine?,The shedding peak in feces occurred around weeks 3-4. ,
Materials,What is shedding time in urine?,SARS-CoV-2 can be detected in feces and urine,
Materials,What is shedding time in blood?,The duration of viral shedding from blood after negative conversion in pharyngeal swabs was 6 to 10 days,6 to 10 days
Materials,What is shedding time in blood?,The duration of viral shedding from the feces after negative conversion in pharyngeal swabs was 6 to 10 days,
Materials,What is conclusion on stool shedding?,"However, the observation of prolonged detection of viral RNA in nasopharyngeal/throat swabs and feces of pediatric patients suggests that children and adolescents may be transmitters in the community.",children and adolescents may be transmitters in the community
Materials,What is conclusion on stool shedding?,"RESULTS At the early stages of symptom onset, SARS-CoV-2 viral load is higher in throat swabs and sputum, but lower in stool.","viral load is higher in throat swabs and sputum, but lower in stool"
Materials,What is conclusion on stool shedding?,"The potentially prolonged shedding of the virus in nasal secretions and stool of children and infants has substantial implications for spread of the virus in daycare centers, schools, and in the home",stool of children and infants has substantial implications for spread of the virus
Materials,What is conclusion on stool shedding?,"The study also reported that the patients had prolonged virus shedding in the respiratory tract and feces, even during their convalescent stage.",prolonged virus shedding in the respiratory tract and feces
Materials,What is conclusion on stool shedding?,"Our data suggest the possibility of extended duration of viral shedding in faeces, for nearly 5 weeks after the patients' respiratory samples tested negative for SARS-CoV-2 RNA. ",extended duration of viral shedding in faeces
Materials,What is conclusion on stool shedding?,"Thus, transmission of virus shed in faeces through bio-aerosols may be an under-recognized infection control issue for health care facilities with high numbers of patients shedding virus in stool. ",transmission of virus shed in faeces through bio-aerosols may be an under-recognized infection control issue
Materials,What is conclusion on stool shedding?,"Faecal shedding seems to occur in patients without gastrointestinal symptoms , which could enable asymptomatic individuals with no respiratory symptoms to be a source of faecal transmission. ",Faecal shedding seems to occur in patients without gastrointestinal symptoms
Materials,What is conclusion on stool shedding?,"Although viral RNA can be detected in stool, it is unclear whether fecal-oral transmission can be achieved by the virus",unclear whether fecal-oral transmission can be achieved by the virus
Materials,What is conclusion on stool shedding?,"Viral shedding can occur for days or weeks furtively in asymptomatic carrier individuals, especially children, 3, 9, 10 and fecal shedding has been noted in patients without diarrhea",fecal shedding has been noted in patients without diarrhea
Materials,What is conclusion on stool shedding?,"Conclusions Nasopharyngeal, sputum and stools rather than blood and urine, were the major shedding routes for SARS-CoV-2, and meanwhile sputum had a prolonged viral shedding","stools rather than blood and urine, were the major shedding routes"
Materials,What is conclusion on stool shedding?,Fecal shedding of SARS-CoV-2 has been constantly reported in patients with coronavirus disease 2019 (COVID-19),Fecal shedding of SARS-CoV-2 has been constantly reported
Materials,What is conclusion on stool shedding?,"Out of 199 patients who tested positive for faecal viral RNA and were followed up with stool testing, 125 (62·8%) showed persistent shedding of virus in the stool samples after a negative nasopharyngeal swab while in the individual studies it ranged from 23·3% to 100%",persistent shedding of virus in the stool samples
Materials,What is conclusion on stool shedding?,Prolonged shedding of viral RNA in the feces was observed for 18–30 days in 5 patients .,Prolonged shedding of viral RNA in the feces was observed 
Materials,What is conclusion on stool shedding?,"Recent studies of Covid-19 showed GI tropism of the coronavirus, verified by the detection of the virus in biopsy specimens and stool, even in discharged patients.","detection of the virus in biopsy specimens and stool, even in discharged patients"
Materials,What is conclusion on stool shedding?,Our results demonstrated the presence of SARS-CoV-2 RNA in the feces of COVID-19 patients and suggested the possibility of SARS-CoV-2 transmission via the fecal-oral route. ,possibility of SARS-CoV-2 transmission via the fecal-oral route
Materials,What is conclusion on stool shedding?,"Moreover, viral shedding in stool was detected in 48.1% of patients, and could persist for up to ≥33 days from illness onset even after viral RNA negativity in respiratory specimens.",viral shedding in stool was detected
Materials,What is conclusion on stool shedding?,Prolonged shedding of viral RNA in the feces was observed for 18-30 days in 5 patients,Prolonged shedding of viral RNA in the feces was observed
Materials,What is conclusion on stool shedding?,No RNA is detected in urine or serum samples of positive patients,
Materials,What is conclusion on nasopharynx shedding?,"Conclusions Nasopharyngeal, sputum and stools rather than blood and urine, were the major shedding routes for SARS-CoV-2","Nasopharyngeal, sputum and stools rather than blood and urine, were the major shedding routes"
Materials,What is conclusion on nasopharynx shedding?,Several reports indicate viral RNA shedding in stool detectable longer time period than in nasopharyngeal swabs.,viral RNA shedding in stool detectable longer time period than in nasopharyngeal swabs
Materials,What is conclusion on urine shedding?,"Results Clinical studies show an incidence rate of diarrhea ranging from 2% to 50% of cases. Several reports indicate viral RNA shedding in stool detectable longer time period than in nasopharyngeal swabs. The presence of virus in the stool and its long fecal persistence time suggest that orofecal transmission is possible, leading to several implications and requiring additional precautions. ",
Materials,What is conclusion on urine shedding?,The duration of nasopharyngeal virus shedding lasted for 49 days even with the administration of lopinavir/ritonavir for 8 days.,
Materials,What is conclusion on urine shedding?,"However, most studies of SARS-CoV-1 did not report symptom severity, and evidence of differences in antibody responses among cases experiencing symptoms of different severity is inconclusive.",
Materials,What is conclusion on urine shedding?,"A highly contagious virus, SARS-Cov-2 is detected in the nasal secretions, sputum, feces, rarely blood (1%) of infected individuals but not in the urine (2) ",not in the urine
Materials,What is conclusion on urine shedding?,"From the experience with SARS we can extrapolate that SARS-CoV-2 can be present in fecal and urine samples, in addition to peripheral blood and respiratory samples. ",SARS-CoV-2 can be present in fecal and urine samples
Materials,What is conclusion on blood shedding?,"In conclusion, COVID-19 represents a major threat to older adults",
Materials,What is conclusion on blood shedding?,Gastrointestinal symptoms such as nausea and vomiting (5%) and diarrhoea (3.8%) were relatively uncommon.,
Materials,What is conclusion on blood shedding?,"Conversely, virus was shed in respiratory swabs and feces samples during the diseased period.",
Materials,What is conclusion on blood shedding?,"A highly contagious virus, SARS-Cov-2 is detected in the nasal secretions, sputum, feces, rarely blood (1%) of infected individuals but not in the urine (2) ","SARS-Cov-2 is detected in the nasal secretions, sputum, feces, rarely blood"
Materials,What is conclusion on blood shedding?,"From the experience with SARS we can extrapolate that SARS-CoV-2 can be present in fecal and urine samples, in addition to peripheral blood and respiratory samples. ","can be present in fecal and urine samples, in addition to peripheral blood"
Materials,What is persistence time on surface?,"Persistence of human coronaviruses on surfaces is highly variable (from 2 h to 9 days), depending on temperature, humidity, type of surface, and virus strain (Kampf et al., 2020) .",2 h to 9 days
Materials,What is persistence time on surface?,"Transmission through infected surfaces is likely; human coronaviruses persist on metals, glass, or plastics for more than 9 days.",more than 9 days
Materials,What is persistence time on surface?,"Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.",72 hours
Materials,What is persistence time on surface?,There is evidence that coronaviruses can remain infectious for 9 days on inanimate surfaces and this may also hold true in dust.,9 days
Materials,What is persistence time on surface?,"This also has important implications for transmission via indirect contact with contaminated surfaces and social distancing guidelines, since SARS-CoV-2 is able to survive on many types of surfaces for hours ",hours
Materials,What is persistence time on surface?,"In addition, the virus can survive for 24-72 hours on surfaces, depending on the type of surface, which enables fomite transmission ",24-72 hours
Materials,What is persistence time on surface?,The virus can survive on surfaces for up to 72 hours such as plastic and stainless steel .,72 hours
Materials,What is persistence time on surface?,"Additionally, the coronavirus is hardier than non-enveloped viruses and can remain infectious on inanimate surfaces for up to 9 days",9 days
Materials,What is persistence time on surface?,"Fomites may be a large source of transmission, as SARS-CoV has been found to persist on surfaces up to 96 h and other coronaviruses for up to 9 days .",up to 9 days
Materials,What is persistence time on surface?,Latest evidence suggests that SARS-CoV-2 can remain infectious for up to 9 days on inanimate surfaces at indoor environmental temperatures .,9 days
Materials,What is persistence time on surface?,"SARS CoV-2 can remain viable in aerosol and survive up to 3 days on inanimate surfaces at room temperature, with a greater preference for humid conditions",3 days
Materials,What is persistence time on surface?,"Viable SARS-CoV-2 persists on inanimate surfaces such as plastic and stainless steel for up to 72 h. 27 Because more than one-third of health-care workers' mobile phones might be contaminated with common viral pathogens, 100 these should be cleaned regularly or wrapped with specimen bags that are discarded after contact with patients or daily.",72 h
Materials,What is persistence time on surface?,"Survival on dry inanimate surfaces such as metal, glass, plastic (and ultrasound systems) is, as far as is known, between 48 and 96 hours (Nyhsen, et al.",48 and 96 hours
Materials,What is persistence time on surface?,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days.,9 days
Materials,What is persistence time on surface?,"Further, 40 a recent study of SARS-CoV-2 in aerosol and deposited on surfaces, indicates infectious aerosol may persist for several hours and on surfaces for as long as 2 days .",2 days
Materials,What is persistence time on surface?,This latter route is due to the fact that the SARS-CoV-2 (as other coronaviruses) can survive for several hours on inanimate environments (e.g.,several hours
Materials,What is persistence time on surface?,HCoVs have been shown to persist on dry surfaces for up to 9 days.,9 days
Materials,What type of surfaces does it persist?,"Transmission through infected surfaces is likely; human coronaviruses persist on metals, glass, or plastics for more than 9 days.","metals, glass, or plastics"
Materials,What type of surfaces does it persist?,"Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.","plastic, stainless steel, copper, and cardboard"
Materials,What type of surfaces does it persist?,There is evidence that coronaviruses can remain infectious for 9 days on inanimate surfaces and this may also hold true in dust.,inanimate surfaces
Materials,What type of surfaces does it persist?,The virus can survive on surfaces for up to 72 hours such as plastic and stainless steel .,plastic and stainless steel
Materials,What type of surfaces does it persist?,"Additionally, the coronavirus is hardier than non-enveloped viruses and can remain infectious on inanimate surfaces for up to 9 days",inanimate surfaces
Materials,What type of surfaces does it persist?,Latest evidence suggests that SARS-CoV-2 can remain infectious for up to 9 days on inanimate surfaces at indoor environmental temperatures .,inanimate surfaces
Materials,What type of surfaces does it persist?,"Viable SARS-CoV-2 persists on inanimate surfaces such as plastic and stainless steel for up to 72 h. 27 Because more than one-third of health-care workers' mobile phones might be contaminated with common viral pathogens, 100 these should be cleaned regularly or wrapped with specimen bags that are discarded after contact with patients or daily.",plastic and stainless steel
Materials,What type of surfaces does it persist?,"Survival on dry inanimate surfaces such as metal, glass, plastic (and ultrasound systems) is, as far as is known, between 48 and 96 hours (Nyhsen, et al.","metal, glass, plastic"
Materials,What type of surfaces does it persist?,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days.,inanimate surfaces
Materials,What type of surfaces does it persist?,HCoVs have been shown to persist on dry surfaces for up to 9 days.,dry surfaces
Materials,What duration is it viable on surface?,The virus can remain viable as an aerosol for up to 3 h and on certain surfaces for up to 72 h .,72 h
Materials,What duration is it viable on surface?,Emerging research also suggests that COVID-19 viral particles remain viable in aerosol for several hours and can survive several days on multiple surfaces.,several hours
Materials,What duration is it viable on surface?,"Experimental studies on the stability of SARS-CoV-2 in aerosols and on various surfaces (plastic, stainless steel, copper, and cardboard) showed that SARS-CoV-2 remains viable up to 72 hours, indicating that aerosol and fomite transmission is plausible.",72 hours
Diagnostics,What rna confirmation method used?,"Although a small number of samples were tested here, the colorimetric LAMP assay enables reliable SARS-CoV-2 detection without sophisticated instrumentation",colorimetric LAMP
Diagnostics,What rna confirmation method used?,The results confirm that the Microplate-ELISA CADD can more accurately identify multiple infections in clinical samples than the current method used in clinics,Microplate-ELISA CADD
Diagnostics,What rna confirmation method used?,"In contrast, the most reliable screening method to assess for 169 disease prevalence and burden of disease is antibody testing via serology -assuming 170 enough time has lapsed since the acute infectious episode.",serology
Diagnostics,What rna confirmation method used?,"Here, we present a microfluidic ELISA technology for rapid (15-20 minutes), quantitative, sensitive detection of SARS-CoV-2 biomarkers using SARS-CoV-2 specific IgG",microfluidic ELISA
Diagnostics,What rna confirmation method used?,"For this purpose, we implemented the reverse transcription loop-mediated isothermal amplification (RT-LAMP) methodology for the qualitative detection of SARS-CoV-2 RNA.",RT-LAMP
Diagnostics,What rna confirmation method used?,"Owing to its simplicity, high sensitivity, and high sequence specificity, PCR-based method are a routine and reliable method for detecting coronavirus infection in patients .",PCR
Diagnostics,What rna confirmation method used?,We performed two serological test methods on the selected samples using the SARS-CoV,serological test
Diagnostics,What rna confirmation method used?,"So, we should detect SARS-CoV-2 nucleic acid",nucleic acid
Diagnostics,What rna confirmation method used?,Alternative rapid tests under development to detect SARS-CoV-2 rely on detection of viral antigen using lateral-flow immunoassays (LFA),lateral-flow immunoassays
Diagnostics,What rna confirmation method used?,The evaluated rapid test is an IgG/IgMe based test for SARS-CoV-2 with a time to result of 20 min.,IgG/IgMe based test
Diagnostics,What is assay detection accuracy?,"Thus, the specificity of the IC assay was calculated to be 98.0%",98.0%
Diagnostics,What is assay detection accuracy?,"The lateral flow assay has demonstrated a clinical sensitivity, specificity, and accuracy of 57%, 100%, and 69% for IgM and 81%, 100%, and 86% for IgG, respectively.","sensitivity, specificity, and accuracy of 57%, 100%, and 69%"
Diagnostics,What is assay detection accuracy?,This 94% detection rate (29/31) is comparable with that of the DETECTR RT-LAMP assay in this study ( Figure 2e ) and that previously reported for a COVID-19,94% detection rate
Diagnostics,What is assay detection accuracy?,The test reached a sensitivity of 36.4%,36.4%
Diagnostics,What is assay detection accuracy?,The overall percent agreement between QIAstat-Dx SARS and WHO-PCR on 69 clinical samples was 97% with a sensitivity at 100% (40/40) and specificity at 93% (27/29).,97% with a sensitivity at 100% (40/40) and specificity at 93% (27/29)
Diagnostics,What is assay detection accuracy?,"Overall, our SARS-CoV-2 dual gene RT-LAMP assay was found to be 95% accurate in detecting positive cases and showed no cross-reactivity or false-positive result in non-COVID-19 samples.",95% accurate
Diagnostics,What is assay detection accuracy?,"The sensitivity and specificity of Anhui and Clungene tests were 33.3% and 72.85%, and 35.48% and 85.02%, respectively","33.3% and 72.85%, and 35.48% and 85.02%"
Diagnostics,What is assay detection accuracy?,"Compared to SOC NAATs, the positive agreement of the Xpert test was 219/220 (99.5%) and the negative agreement was 250/261 (95.8%)",99.5%
Diagnostics,What is assay detection accuracy?,The overall specificity and sensitivity are largely depending on the incidence of disease and ranges between 61 and 97% with a reported false-negative rate up to 20% in symptomatic patients ,ranges between 61 and 97%
Diagnostics,What is assay detection accuracy?,The highest combined 301 sensitivity and specificity was achieved with GenScript N (100% sensitivity and 99% specificity 302 at ≥10 days post symptom onset),100% sensitivity and 99% specificity
Diagnostics,What is assay detection accuracy?,"The specificity negative predictive value and consistency rate of IgG were 95.0%, 94.8% and 88.9%, respectively.","95.0%, 94.8% and 88.9%"
Diagnostics,What is assay detection accuracy?,"Owing to its simplicity, high sensitivity, and high sequence specificity, PCR-based method are a routine and reliable method for detecting coronavirus infection in patients .",
Diagnostics,What is assay detection accuracy?,"The testing for such surveillance will need to be conducted at the laboratory level, where test accuracy is superior to point-of-care or home-based tests",
Diagnostics,What is assay detection accuracy?,it usually takes 2‐3 hours to produce results; ,
Diagnostics,What is assay detection accuracy?,"Finally, it is important to recognize that the acceptable diagnostic accuracy of a test may vary according to use case.",
Diagnostics,What is assay detection accuracy?,"However, the performance of IVD assays needs to be critically evaluated before they are employed for the clinical diagnosis of COVID-19.",
Diagnostics,What is assay detection accuracy?,"In addition, the RNA preparation step can affect diagnostic accuracy.",
Diagnostics,What is assay detection accuracy?,"The serodiagnostic power of the specific IgM and IgG antibodies against SARS-CoV-2 was investigated in terms of sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and consistency rate.",
Diagnostics,What is assay detection accuracy?,"Among these assays, RT-PCR assays targeting the RdRp assay had the highest analytical sensitivity",
Diagnostics,What is assay detection speed?,"Of importance, a target DNA can be rapidly detected in less than 30 minutes using a signal readout of fluorescent hybridization chain reaction (HCR).",30 minutes
Diagnostics,What is assay detection speed?,Of interest is the point-of-care (POC) molecular assay by Abbott that decreased the assay duration to just 5 min.,5 min
Diagnostics,What is assay detection speed?,"Reagent-wise, the costs would be similar to that of real time RT-PCR, but the real advantage of this would be the rapidity of this assay, yielding results within an hour of testing, compared to 4-8 hours taken with RT-PCR methods.",within an hour
